,Train_Params,MAE,MAE,Test_Params,MAE,MAE
51.0,T_128_B_64_H_16_train,,,T_128_B_64_H_16_test,,
52.0,T_128_B_64_H_24_train,0.28481747586616585,0.3004631388427573,T_128_B_64_H_24_test,0.28481747586616585,0.3004631388427573
53.0,T_128_B_64_H_32_train,,,T_128_B_64_H_32_test,,
54.0,T_128_B_64_H_64_train,,,T_128_B_64_H_64_test,,
55.0,T_128_B_128_H_8_train,,,T_128_B_128_H_8_test,,
56.0,T_128_B_128_H_16_train,,,T_128_B_128_H_16_test,,
57.0,T_128_B_128_H_24_train,0.0647127286450932,0.0823187091020196,T_128_B_128_H_24_test,0.0647127286450932,0.0823187091020196
58.0,T_128_B_128_H_32_train,,,T_128_B_128_H_32_test,,
59.0,T_128_B_128_H_64_train,0.07487033450908277,0.09131237391552986,T_128_B_128_H_64_test,0.07487033450908277,0.09131237391552986
60.0,T_256_B_16_H_8_train,,,T_256_B_16_H_8_test,,
61.0,T_256_B_16_H_16_train,0.06356323906146284,0.08303223225718845,T_256_B_16_H_16_test,0.06356323906146284,0.08303223225718845
62.0,T_256_B_16_H_24_train,,,T_256_B_16_H_24_test,,
63.0,T_256_B_16_H_32_train,0.0789643343525869,0.09391387532054703,T_256_B_16_H_32_test,0.0789643343525869,0.09391387532054703
64.0,T_256_B_16_H_64_train,,,T_256_B_16_H_64_test,,
65.0,T_256_B_32_H_8_train,,,T_256_B_32_H_8_test,,
66.0,T_256_B_32_H_16_train,,,T_256_B_32_H_16_test,,
67.0,T_256_B_32_H_24_train,,,T_256_B_32_H_24_test,,
68.0,T_256_B_32_H_32_train,0.07260902504191834,0.08358022154222199,T_256_B_32_H_32_test,0.07260902504191834,0.08358022154222199
69.0,T_256_B_32_H_64_train,,,T_256_B_32_H_64_test,,
70.0,T_256_B_64_H_8_train,0.07132033328144032,0.08578932749508567,T_256_B_64_H_8_test,0.07132033328144032,0.08578932749508567
71.0,T_256_B_64_H_16_train,,,T_256_B_64_H_16_test,,
72.0,T_256_B_64_H_24_train,,,T_256_B_64_H_24_test,,
73.0,T_256_B_64_H_32_train,,,T_256_B_64_H_32_test,,
74.0,T_256_B_64_H_64_train,,,T_256_B_64_H_64_test,,
75.0,T_256_B_128_H_8_train,0.07400476279653112,0.0858889957707821,T_256_B_128_H_8_test,0.07400476279653112,0.0858889957707821
76.0,T_256_B_128_H_16_train,,,T_256_B_128_H_16_test,,
77.0,T_256_B_128_H_24_train,,,T_256_B_128_H_24_test,,
78.0,T_256_B_128_H_32_train,0.08490881655168458,0.0986468507681537,T_256_B_128_H_32_test,0.08490881655168458,0.0986468507681537
79.0,T_256_B_128_H_64_train,,,T_256_B_128_H_64_test,,
