,Train_Params,MAE,MAE,Test_Params,MAE,MAE
46.0,T_128_B_32_H_16_train,0.06181541607217881,0.07422800633879388,T_128_B_32_H_16_test,0.06181541607217881,0.07422800633879388
47.0,T_128_B_32_H_24_train,0.0725611621744567,0.08499169432962089,T_128_B_32_H_24_test,0.0725611621744567,0.08499169432962089
48.0,T_128_B_32_H_32_train,0.056645333075064176,0.07378514705186767,T_128_B_32_H_32_test,0.056645333075064176,0.07378514705186767
49.0,T_128_B_32_H_64_train,0.07833033156219624,0.08931970026763464,T_128_B_32_H_64_test,0.07833033156219624,0.08931970026763464
50.0,T_128_B_64_H_8_train,0.07004062638983226,0.08477421590968096,T_128_B_64_H_8_test,0.07004062638983226,0.08477421590968096
51.0,T_128_B_64_H_16_train,0.05923905025084709,0.07619228683039429,T_128_B_64_H_16_test,0.05923905025084709,0.07619228683039429
52.0,T_128_B_64_H_24_train,0.06628134999717433,0.07865658314713432,T_128_B_64_H_24_test,0.06628134999717433,0.07865658314713432
53.0,T_128_B_64_H_32_train,0.06127480332513656,0.07460760215569281,T_128_B_64_H_32_test,0.06127480332513656,0.07460760215569281
54.0,T_128_B_64_H_64_train,0.058857401581465726,0.07255788387640909,T_128_B_64_H_64_test,0.058857401581465726,0.07255788387640909
55.0,T_128_B_128_H_8_train,0.06518103841872963,0.07778763417745962,T_128_B_128_H_8_test,0.06518103841872963,0.07778763417745962
56.0,T_128_B_128_H_16_train,0.07570583249293002,0.08906490173412163,T_128_B_128_H_16_test,0.07570583249293002,0.08906490173412163
57.0,T_128_B_128_H_24_train,0.06931987812410474,0.08365206040773632,T_128_B_128_H_24_test,0.06931987812410474,0.08365206040773632
58.0,T_128_B_128_H_32_train,0.06862220357046873,0.08081803865047583,T_128_B_128_H_32_test,0.06862220357046873,0.08081803865047583
59.0,T_128_B_128_H_64_train,0.06827640576959985,0.08073132303141789,T_128_B_128_H_64_test,0.06827640576959985,0.08073132303141789
60.0,T_256_B_16_H_8_train,0.07346452194360567,0.08679602592823102,T_256_B_16_H_8_test,0.07346452194360567,0.08679602592823102
61.0,T_256_B_16_H_16_train,0.06404177480935692,0.07070771836048965,T_256_B_16_H_16_test,0.06404177480935692,0.07070771836048965
62.0,T_256_B_16_H_24_train,0.06981866443904619,0.08048888375719832,T_256_B_16_H_24_test,0.06981866443904619,0.08048888375719832
63.0,T_256_B_16_H_32_train,0.05883811020475666,0.0719707332338748,T_256_B_16_H_32_test,0.05883811020475666,0.0719707332338748
64.0,T_256_B_16_H_64_train,0.06591663880908201,0.07266343401009796,T_256_B_16_H_64_test,0.06591663880908201,0.07266343401009796
65.0,T_256_B_32_H_8_train,0.08145492379609663,0.09793056041758195,T_256_B_32_H_8_test,0.08145492379609663,0.09793056041758195
66.0,T_256_B_32_H_16_train,0.07634822489350679,0.08531798316538135,T_256_B_32_H_16_test,0.07634822489350679,0.08531798316538135
67.0,T_256_B_32_H_24_train,0.055849079837627005,0.07015022162368115,T_256_B_32_H_24_test,0.055849079837627005,0.07015022162368115
68.0,T_256_B_32_H_32_train,0.06784539735216907,0.08197969529595682,T_256_B_32_H_32_test,0.06784539735216907,0.08197969529595682
69.0,T_256_B_32_H_64_train,0.058529457327281285,0.06925620297866537,T_256_B_32_H_64_test,0.058529457327281285,0.06925620297866537
70.0,T_256_B_64_H_8_train,0.06286970660210982,0.0759843900955561,T_256_B_64_H_8_test,0.06286970660210982,0.0759843900955561
71.0,T_256_B_64_H_16_train,0.06295827771701874,0.07522061210596613,T_256_B_64_H_16_test,0.06295827771701874,0.07522061210596613
72.0,T_256_B_64_H_24_train,0.06471355335662297,0.0753810860668316,T_256_B_64_H_24_test,0.06471355335662297,0.0753810860668316
73.0,T_256_B_64_H_32_train,0.06232811379056212,0.07249974273017948,T_256_B_64_H_32_test,0.06232811379056212,0.07249974273017948
74.0,T_256_B_64_H_64_train,0.058967663901834604,0.06544758261491271,T_256_B_64_H_64_test,0.058967663901834604,0.06544758261491271
75.0,T_256_B_128_H_8_train,0.05769495844407208,0.06751547370911133,T_256_B_128_H_8_test,0.05769495844407208,0.06751547370911133
76.0,T_256_B_128_H_16_train,0.06809539216499938,0.08085604432209918,T_256_B_128_H_16_test,0.06809539216499938,0.08085604432209918
77.0,T_256_B_128_H_24_train,0.07289639020689906,0.07743414292326427,T_256_B_128_H_24_test,0.07289639020689906,0.07743414292326427
78.0,T_256_B_128_H_32_train,0.06443372313989511,0.07921996181936064,T_256_B_128_H_32_test,0.06443372313989511,0.07921996181936064
79.0,T_256_B_128_H_64_train,0.06949293241223486,0.07328818241261963,T_256_B_128_H_64_test,0.06949293241223486,0.07328818241261963
